8	chloride	1673	1681	10.txt	connection with the open sea and within which the chloride _NEW_LINE_ concentration at the surface is equal to or great
3	nh3	807	810	100.txt	 _NEW_LINE_ 3. _NEW_LINE_  _NEW_LINE_ cbod5 = 1.33 mg/l _NEW_LINE_  _NEW_LINE_ 4. _NEW_LINE_  _NEW_LINE_ nbodu = 0.5 mg/l _NEW_LINE_  _NEW_LINE_ 5. _NEW_LINE_  _NEW_LINE_ nh3-n = 0.10 mg/l _NEW_LINE_  _NEW_LINE_ k. _NEW_LINE_  _NEW_LINE_ photosynthesis / respiration _NEW_LINE_  _NEW_LINE_ 
1	k	826	827	100.txt	g/l _NEW_LINE_  _NEW_LINE_ 4. _NEW_LINE_  _NEW_LINE_ nbodu = 0.5 mg/l _NEW_LINE_  _NEW_LINE_ 5. _NEW_LINE_  _NEW_LINE_ nh3-n = 0.10 mg/l _NEW_LINE_  _NEW_LINE_ k. _NEW_LINE_  _NEW_LINE_ photosynthesis / respiration _NEW_LINE_  _NEW_LINE_ 1. _NEW_LINE_  _NEW_LINE_ input values 
3	nh3	1531	1534	101.txt	gen or nbodu decay. _NEW_LINE_ wastewater inputs/outputs are nh3-n (as nitrogen). the value is converted to oxygen
8	chlorine	1315	1323	102.txt	hydrograph controlled release (hcr) lagoons. _NEW_LINE_  _NEW_LINE_ o. _NEW_LINE_  _NEW_LINE_ chlorine toxicity _NEW_LINE_  _NEW_LINE_ residual chlorine allocations for all m
8	chlorine	1343	1351	102.txt	e (hcr) lagoons. _NEW_LINE_  _NEW_LINE_ o. _NEW_LINE_  _NEW_LINE_ chlorine toxicity _NEW_LINE_  _NEW_LINE_ residual chlorine allocations for all municipal and industrial effl
8	chlorine	1816	1824	102.txt	) − (ch * qh ) _NEW_LINE_ qe _NEW_LINE_  _NEW_LINE_ where: _NEW_LINE_ ce _NEW_LINE_ = allowable effluent chlorine concentration in ug/l _NEW_LINE_ qe _NEW_LINE_ = daily average effluent
8	chlorine	1902	1910	102.txt	daily average effluent flow in cfs _NEW_LINE_ ch _NEW_LINE_ = headwater chlorine concentration (usually 0.0 ug/l) _NEW_LINE_ qh _NEW_LINE_ = headwater f
8	chlorine	1983	1991	102.txt	
7	ammonia	515	522	103.txt	 criteria; for iwc > 1% use chronic criteria. _NEW_LINE_ q. _NEW_LINE_  _NEW_LINE_ ammonia toxicity _NEW_LINE_  _NEW_LINE_ ammonia must not only be considered due
7	ammonia	533	540	103.txt	 > 1% use chronic criteria. _NEW_LINE_ q. _NEW_LINE_  _NEW_LINE_ ammonia toxicity _NEW_LINE_  _NEW_LINE_ ammonia must not only be considered due to its effect on 
7	ammonia	693	700	103.txt	oxicity potential. it is recognized that effluent ammonia concentrations may be more _NEW_LINE_ restricted due to toxi
7	ammonia	845	852	103.txt	 modeler of conventional _NEW_LINE_ pollutants must consider ammonia toxicity. _NEW_LINE_ ammonia as nitrogen (nh3-n) allocations
7	ammonia	863	870	103.txt	tional _NEW_LINE_ pollutants must consider ammonia toxicity. _NEW_LINE_ ammonia as nitrogen (nh3-n) allocations for effluents wil
3	nh3	884	887	103.txt	t consider ammonia toxicity. _NEW_LINE_ ammonia as nitrogen (nh3-n) allocations for effluents will be developed to
7	ammonia	1042	1049	103.txt	ria for water, 1986, epa 440/5-86-001. generally, _NEW_LINE_ ammonia limits will be placed in permits of municipal fac
2	ph	1316	1318	103.txt	 water target values used. stream temperature and _NEW_LINE_ ph after mixing must also be known or assumed. for e
2	ph	1388	1390	103.txt	lso be known or assumed. for empirical modeling a ph of 7.0 and a _NEW_LINE_ stream temperature of 25oc are assum
3	nh3	1628	1631	103.txt	) − (ch * qh ) _NEW_LINE_ qe _NEW_LINE_  _NEW_LINE_ where: _NEW_LINE_ ce _NEW_LINE_ = allowable effluent nh3 concentration in mg/l _NEW_LINE_ qe _NEW_LINE_ = daily average effluent
